,rank,total,schoolInfo,admissionRank,sportsRank,artsRank,uniformedGroupsRank,schoolName,schoolArea,School,Avail,Apply,Ballot,Note
124,125,186,"{'schoolSlug': 'greendale-primary-school', 'schoolCode': '1251', 'schoolName': 'Greendale Primary School', 'schoolNameZh': '绿苑小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/greendale-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'North', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.greendalepri.moe.edu.sg', 'address': '50 Edgedale Plains', 'schoolArea': 'Punggol', 'postalCode': '828848', 'tel': '68861413', 'email': 'greendale_ps@moe.edu.sg', 'latitude': 1.39648761034483, 'longitude': 103.912341048919, 'nearestSlugs': ['horizon-primary-school', 'mee-toh-school', 'edgefield-primary-school', 'waterway-primary-school', 'oasis-primary-school', 'rivervale-primary-school', 'punggol-view-primary-school', 'north-spring-primary-school', 'seng-kang-primary-school', 'punggol-green-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Our mission is to nurture each child holistically through excellence in teaching and learning.', 'schoolVision': 'Greendale Primary School will be an excellent community of learners anchored in values', 'schoolEchos': ['Every child matters in Greendale Primary School.   Our teachers are committed to deliver a curriculum to suit the needs of our pupils. We believe in the holistic development of our pupils and promote the development of 21st century competencies so that our pupils will be future-ready. We cultivate positive attitudes towards learning and focus on the teaching of thinking skills which are essential for life-long learning in order for them to navigate in an increasingly complex world.  Another important aspect is the teaching of social emotional competencies as key to developing soft skills in our pupils so that they can work with others collaboratively in an increasingly interconnected environment. Undergirding these efforts is a commitment towards ethical growth through character building and an emphasis in values education.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,138,96,54,Greendale Primary School,Punggol,Greendale Primary School,102.0,71.0,,
125,126,186,"{'schoolSlug': 'dazhong-primary-school', 'schoolCode': '1229', 'schoolName': 'Dazhong Primary School', 'schoolNameZh': '大众小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/dazhong-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.dazhongpri.moe.edu.sg', 'address': '35 Bukit Batok Street 31', 'schoolArea': 'Bukit Batok', 'postalCode': '659441', 'tel': '65658002', 'email': 'dazhong_ps@moe.edu.sg', 'latitude': 1.35917974472771, 'longitude': 103.74847210784, 'nearestSlugs': ['st-anthony-s-primary-school', 'lianhua-primary-school', 'princess-elizabeth-primary-school', 'bukit-view-primary-school', 'keming-primary-school', 'yuhua-primary-school', 'jurong-primary-school', 'chua-chu-kang-primary-school', 'chij-our-lady-queen-of-peace', 'south-view-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'To nurture and inspire pupils to be self-directed learners, gracious and resilient, serving beyond self', 'schoolVision': 'Achievers rooted in values, soaring beyond limits', 'schoolEchos': [""Dazhong Primary School (DZPS) has a long history of more 80 years. Anchored on our firm belief that every child can learn and give of one's best, we strive to groom every student to serve beyond oneself and face challenges with resilience.                                                                                                                                                                                                                                                                     A student-centric approach is adopted in designing our holistic curriculum to help every student live out our school's values of 'IREAP': 'Integrity, Responsibility, Excellence, Acceptance and Perseverance'. Our six-year structured curriculum through our LLP-Arts Education programme offers a myriad of learning experiences which help to cultivate in every student, 'Howard Gardner's 5 Minds for The Future' - The Disciplinary Mind, The Synthesizing Mind, The Creating Mind, The Respectful Mind & The Ethical Mind'.  This prepares them to be self-directed learners, gracious and resilient citizens who seek to serve beyond self for the future.                                                                                                                                                                                       Coupled with a warm and caring environment afforded by a team of committed staff, we believe that our students can become 'Achievers rooted in values, soaring beyond limits'.""], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",108,114,169,39,Dazhong Primary School,Bukit Batok,Dazhong Primary School,7.0,65.0,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
126,127,186,"{'schoolSlug': 'fuhua-primary-school', 'schoolCode': '1107', 'schoolName': 'Fuhua Primary School', 'schoolNameZh': '辅华小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/fuhua-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.fuhuapri.moe.edu.sg', 'address': '65 Jurong East Street 13', 'schoolArea': 'Jurong East', 'postalCode': '609647', 'tel': '65624370', 'email': 'fhps@moe.edu.sg', 'latitude': 1.33650394789627, 'longitude': 103.736103745748, 'nearestSlugs': ['yuhua-primary-school', 'jurong-primary-school', 'princess-elizabeth-primary-school', 'lakeside-primary-school', 'shuqun-primary-school', 'bukit-view-primary-school', 'rulang-primary-school', 'keming-primary-school', 'boon-lay-garden-primary-school', 'lianhua-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Creating Opportunities. Leading Learning. Building Communities', 'schoolVision': 'SINGAPORE SMART SCHOOL OF THE FUTURE', 'schoolEchos': [], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",109,170,142,15,Fuhua Primary School,Jurong East,Fuhua Primary School,21.0,32.0,Y,Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school.
129,130,186,"{'schoolSlug': 'casuarina-primary-school', 'schoolCode': '1771', 'schoolName': 'Casuarina Primary School', 'schoolNameZh': '康岭小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/casuarina-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'East', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.casuarinapri.moe.edu.sg', 'address': '30 Pasir Ris St 41', 'schoolArea': 'Pasir Ris', 'postalCode': '518935', 'tel': '65837132', 'email': 'casuarina_ps@moe.edu.sg', 'latitude': 1.37246063955374, 'longitude': 103.957020286387, 'nearestSlugs': ['pasir-ris-primary-school', 'white-sands-primary-school', 'elias-park-primary-school', 'tampines-north-primary-school', 'gongshang-primary-school', 'park-view-primary-school', 'east-spring-primary-school', 'yumin-primary-school', 'chongzheng-primary-school', 'meridian-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Inspire learning and nurture character within a caring community.', 'schoolVision': 'Life-long learners rooted in values to lead, care and serve.', 'schoolEchos': [], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",101,137,148,62,Casuarina Primary School,Pasir Ris,Casuarina Primary School,29.0,37.0,Y,Balloting will be conducted for Permanent Resident children residing within 1km of the school.
130,131,186,"{'schoolSlug': 'bedok-green-primary-school', 'schoolCode': '1230', 'schoolName': 'Bedok Green Primary School', 'schoolNameZh': '育青小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/bedok-green-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'East', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.bedokgreenpri.moe.edu.sg', 'address': '1 Bedok South Ave 2', 'schoolArea': 'Bedok', 'postalCode': '469317', 'tel': '64425416', 'email': 'bgps@moe.edu.sg', 'latitude': 1.32344593287994, 'longitude': 103.937878976352, 'nearestSlugs': ['fengshan-primary-school', 'temasek-primary-school', 'red-swastika-school', 'st-anthony-s-canossian-primary-school', 'yu-neng-primary-school', 'opera-estate-primary-school', 'damai-primary-school', 'st-stephen-s-school', 'changkat-primary-school', 'junyuan-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To empower BGPians to learn how to learn and succeed, and nurture them to be confident persons and concerned citizens.', 'schoolVision': 'Empowered Learners, Persons of Strength and Character', 'schoolEchos': [""Bedok Green Primary School's philosophy that 'Every Child Matters' undergirds our unyielding belief that every child is special, valuable and important, and thus will receive the necessary support to ensure his success in life, regardless of his starting point, with many helping hands, sound structures and a myriad of programmes for various student segments put in place. We build students' resilience, confidence and strong thirst for success, despite the challenges and obstacles, always cheered on and encouraged by their teachers and peers. The school philosophy unites the school as one, as every member of the school community takes accountability for his role in ensuring individual and collective success. We also ensure that students learn in a warm, nurturing and conducive environment for their holistic development."", ""The philosophy also drives the school's strong culture of care for its students, staff and stakeholders. Every member of the school community is respected and recognised for his contribution, big or small, with ample opportunities to succeed. Character-building and Values-In-Action programmes focus on contributing to their peers, the school and community, reiterating the importance of giving generously back to society, in our own ways.""], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,104,100,102,Bedok Green Primary School,Bedok,Bedok Green Primary School,120.0,74.0,,
131,132,186,"{'schoolSlug': 'north-spring-primary-school', 'schoolCode': '1761', 'schoolName': 'North Spring Primary School', 'schoolNameZh': '北源小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/north-spring-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'North', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.northspringpri.moe.edu.sg', 'address': '1 Rivervale Street', 'schoolArea': 'Sengkang', 'postalCode': '545088', 'tel': '68816887', 'email': 'nsps@moe.edu.sg', 'latitude': 1.38706146494863, 'longitude': 103.903202683028, 'nearestSlugs': ['seng-kang-primary-school', 'rivervale-primary-school', 'north-vista-primary-school', 'compassvale-primary-school', 'mee-toh-school', 'palm-view-primary-school', 'punggol-primary-school', 'nan-chiau-primary-school', 'greendale-primary-school', 'edgefield-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To Build Character, Nurture Minds and Strive for Excellence', 'schoolVision': 'Confident . Cultured .  Aspiring Learners', 'schoolEchos': [""We are guided by the belief that 'Every Child Learns' and our efforts are directed at providing opportunities through our programmes as well as teachable moments. Children are imbued with this mindset and have self-belief and self-efficacy."", ""We define culture as a way of life and life in school includes every day interacting and connecting with Singaporeans and children from other countries. We ensure that children appreciate each other's differences and diversity, as school is a microcosm of Society and such awareness must be built from young. To be cultured is to conduct oneself with dignity, to be humble and not be respecters of persons but respect everyone."", 'We want our children not only to learn but learn right. Anything that is worth doing must be done well, even if it is to keep the individual desks tidy and classrooms clean. We encourage them to aspire to do their best and to try again when they face setbacks.', 'All that we do is premised on the values of Integrity, Responsibility, Resilience and Compassion. We ensure that the values are lived out so that they are not just taught but caught. It is not enough to be honest but exhibit integrity - the moral courage to speak up or own up when something wrong has been committed; everyone must be responsible to his own work; we allow mistakes to be made so that they build resilience and when they are successful, to always remember those who are less advantaged than them and show compassion by contributing back to Society.', ""In NSPS we constantly build our teacher capacity through adopting a school-wide model of 'The Skillful Teacher'. We encourage our teachers to try different strategies so that they engage the children and bring about the 'joy of learning'. Teachers also frequently attend workshops and courses for fresh ideas."", 'All the above brings about a culture of care and every child can look forward to school, having a positive teacher-student relationship and quality school experience.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,106,51,150,North Spring Primary School,Sengkang,North Spring Primary School,102.0,50.0,,
132,133,186,"{'schoolSlug': 'yuhua-primary-school', 'schoolCode': '1656', 'schoolName': 'Yuhua Primary School', 'schoolNameZh': '裕华小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/yuhua-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.yuhuapri.moe.edu.sg', 'address': '158 Jurong East Street 24', 'schoolArea': 'Jurong East', 'postalCode': '609558', 'tel': '65605062', 'email': 'yuhua_ps@moe.edu.sg', 'latitude': 1.34280230475035, 'longitude': 103.741105772644, 'nearestSlugs': ['princess-elizabeth-primary-school', 'fuhua-primary-school', 'jurong-primary-school', 'bukit-view-primary-school', 'keming-primary-school', 'lianhua-primary-school', 'dazhong-primary-school', 'shuqun-primary-school', 'st-anthony-s-primary-school', 'rulang-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Growing Our Hearts and Minds', 'schoolVision': 'Yuhualite -One who Cares, Shares and ContributesOne who Learns, Thinks and Innovates', 'schoolEchos': ['The school believes that every pupil is different, each has his unique talent and the ability to learn.  As such, the school seeks to create a learning environment whereby their learning experiences are both meaningful and purposeful to engage their hearts and minds so that every Yuhualite will be a thinking individual who cares and contributes to the community and the country.', 'Underpinning this belief is the school mission, vision and values: Resilience, Responsibility, Respect, Integrity, Care and Harmony'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,170,61,76,Yuhua Primary School,Jurong East,Yuhua Primary School,121.0,39.0,,
134,135,186,"{'schoolSlug': 'tampines-north-primary-school', 'schoolCode': '1736', 'schoolName': 'Tampines North Primary School', 'schoolNameZh': '淡滨尼北小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/tampines-north-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'East', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.tampinesnorthpri.moe.edu.sg', 'address': '30 Tampines Avenue 9', 'schoolArea': 'Tampines', 'postalCode': '529565', 'tel': '67854329', 'email': 'tnps@moe.edu.sg', 'latitude': 1.36047641484685, 'longitude': 103.948725782833, 'nearestSlugs': ['gongshang-primary-school', 'yumin-primary-school', 'chongzheng-primary-school', 'tampines-primary-school', 'angsana-primary-school', 'white-sands-primary-school', 'poi-ching-school', 'elias-park-primary-school', 'casuarina-primary-school', 'east-spring-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'To Instil a Lively Curiosity and Graciousness in Every Pupil', 'schoolVision': 'A School that inspires individuals to be their best', 'schoolEchos': ['In Tampines North Primary School, our students enjoy their learning in a nurturing and supportive environment and look forward to coming to a school where every child matters. Guided by its mission to instil a lively curiosity and graciousness in every pupil, the school leverages and collaborates with its key stakeholders and the community to achieve its vision of becoming a school that inspires individuals to be their best.', ""The school focuses on the holistic development of students through its total curriculum, building the capacity of staff as the key driver to impact on students' learning and creating a meaningful and unique learning experience where students experience success, deepen their interests and enhance their performance. We believe that it is important for our students to experience success in the early stage of learning. Positive reinforcement and opportunities to celebrate success enable them to gain confidence in their abilities and develop their interest to want to learn more. More importantly, we want to inspire our students to be their best to realise their potential."", ""To promote the well-being of its students and help them better manage the various demands in their learning journey, the school has put in place processes and programmes to meet students' varied needs at different stages of their learning. Besides the instructional programme, it leverages its non-academic programmes such as Environment Education, its Learning for Life Programme (LLP),  Performing Arts and PAL to develop students' talents, character and social emotional competencies."", 'In TNPS, students can look forward to a fulfilling and enriching learning experience in their primary education.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",117,160,32,141,Tampines North Primary School,Tampines,Tampines North Primary School,100.0,48.0,,
137,138,186,"{'schoolSlug': 'peiying-primary-school', 'schoolCode': '1236', 'schoolName': 'Peiying Primary School', 'schoolNameZh': '培英小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/peiying-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'North', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.peiyingpri.moe.edu.sg', 'address': '651 Yishun Ring Road', 'schoolArea': 'Yishun', 'postalCode': '768687', 'tel': '62575684', 'email': 'peiying_ps@moe.edu.sg', 'latitude': 1.41723339695906, 'longitude': 103.830417090698, 'nearestSlugs': ['naval-base-primary-school', 'jiemin-primary-school', 'northland-primary-school', 'ahmad-ibrahim-primary-school', 'yishun-primary-school', 'huamin-primary-school', 'xishan-primary-school', 'north-view-primary-school', 'chongfu-school', 'sembawang-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Building Character, Enriching Lives, Stretching Potential', 'schoolVision': 'A School with P.R.I.D.E. **Perseverance; Respect; Integrity; Diligence; Empathy', 'schoolEchos': ['At Peiying Primary School, the underpinning philosophy of teaching and learning is the belief that every child can learn, improve and fulfil his potential to become contributing citizens.', ""Central to the Peiying brand of education is the nurture of individuals who would be leaders of character, engaged and resilient learners and caring citizens. At Peiying Primary School, we look for the strengths in our students and we strive to help our students realise their full potential. Each child is respected as an individual and nurtured to grow and develop. Our students learn to give their best in all that they do, to persevere and to 'never give up'. The school focuses on character building and on the inculcation of values such as honesty and development of respect and care for the people around them."", 'Students of Peiying enjoy a wide variety of programmes that contribute to their holistic development. Student Development Programmes in the school are specially planned and designed to stretch the potential in each and every child to make learning at Peiying fun and meaningful.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,158,139,22,Peiying Primary School,Yishun,Peiying Primary School,62.0,82.0,Y,Balloting will be conducted for Singapore Citizen children residing between 1km and 2km of the school.
138,139,186,"{'schoolSlug': 'bukit-view-primary-school', 'schoolCode': '1209', 'schoolName': 'Bukit View Primary School', 'schoolNameZh': '百德小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/bukit-view-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.bukitviewpri.moe.edu.sg', 'address': '18 Bukit Batok Street 21', 'schoolArea': 'Bukit Batok', 'postalCode': '659634', 'tel': '65661980', 'email': 'bukitview_ps@moe.edu.sg', 'latitude': 1.34586054842037, 'longitude': 103.753665986188, 'nearestSlugs': ['keming-primary-school', 'lianhua-primary-school', 'yuhua-primary-school', 'princess-elizabeth-primary-school', 'dazhong-primary-school', 'bukit-timah-primary-school', 'st-anthony-s-primary-school', 'fuhua-primary-school', 'jurong-primary-school', 'pei-hwa-presbyterian-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'We are committed to providing a learner-centric and values-driven education.', 'schoolVision': 'Self-directed Learners . Confident Leaders . Caring Citizens', 'schoolEchos': [""Guided by our philosophy that 'Every child can learn and achieve', the school strives to provide every child with a broad-based education with opportunities for the development of talents. The student-centred philosophy rests on the premise that every child has the innate ability to acquire knowledge and skills and is thereby able to grow and develop when supported by a safe and nurturing environment conducive for learning."", ""The school believes in providing a caring and positive school culture for all, whereby every individual enjoys learning and embracing the school motto, striving 'Towards Excellence'. Anchored on values with a focus on student-centricity, our staff are committed to nurturing our students to help them embody the Desired Outcomes of Education (DOEs) in being a confident person, a self-directed learner, an active contributor and a concerned citizen."", 'The school believes the importance of partnership with key stakeholders for the holistic development of our students. We seek to build quality relationships with our key stakeholders based on trust and mutual benefits to benefit our students.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",132,151,11,163,Bukit View Primary School,Bukit Batok,Bukit View Primary School,199.0,133.0,,
139,140,186,"{'schoolSlug': 'teck-ghee-primary-school', 'schoolCode': '1158', 'schoolName': 'Teck Ghee Primary School', 'schoolNameZh': '德义小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/teck-ghee-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'South', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.teckgheepri.moe.edu.sg', 'address': '1 Ang Mo Kio Street 32', 'schoolArea': 'Ang Mo Kio', 'postalCode': '569299', 'tel': '64548769', 'email': 'tgps@moe.edu.sg', 'latitude': 1.36558782075971, 'longitude': 103.850957126982, 'nearestSlugs': ['townsville-primary-school', 'jing-shan-primary-school', 'ang-mo-kio-primary-school', 'catholic-high-school', 'chij-our-lady-of-good-counsel', 'kuo-chuan-presbyterian-primary-school', 'mayflower-primary-school', 'chij-st-nicholas-girls-school', 'ai-tong-school', 'zhonghua-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Physical impairment', 'Allied educators (Learning and behavioural support)'], 'schoolMission': 'We are committed to develop all our pupils to become:- Creative thinkers;- Confident communicators;- Lifelong learners;- Responsible citizensby creating a positive and caring learning community; and working in partnership with stakeholders.', 'schoolVision': ""Nurturing Tomorrow's Leaders, Today."", 'schoolEchos': [""The school's core values, encapsulated by the acronym TGPS, which stands for Team Spirit, Graciousness, Perseverance, and Self-Discipline are integral in shaping the TGPS spirit and culture, and inspire judgment, decisions and actions. The learning environment is supported by a caring culture that encourages experimentation, learning from doing and peer learning.""], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",73,92,149,163,Teck Ghee Primary School,Ang Mo Kio,Teck Ghee Primary School,26.0,26.0,,
140,141,186,"{'schoolSlug': 'jurong-primary-school', 'schoolCode': '1045', 'schoolName': 'Jurong Primary School', 'schoolNameZh': '裕廊小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/jurong-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'West', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.jurongpri.moe.edu.sg', 'address': '320 Jurong East Street 32', 'schoolArea': 'Jurong East', 'postalCode': '609476', 'tel': '65618837', 'email': 'jps@moe.edu.sg', 'latitude': 1.3486002031607, 'longitude': 103.733156560251, 'nearestSlugs': ['princess-elizabeth-primary-school', 'yuhua-primary-school', 'shuqun-primary-school', 'fuhua-primary-school', 'rulang-primary-school', 'lakeside-primary-school', 'dazhong-primary-school', 'boon-lay-garden-primary-school', 'bukit-view-primary-school', 'lianhua-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'We nurture all-rounded pupils of grace, distinction and sound moral values,ready to take on future endeavours.', 'schoolVision': 'A vibrant community of gracious citizens and passionate learners', 'schoolEchos': ['With a strong conviction that children are small but their minds are not, Jurong Primary School (JPS) provides a holistic education to our students through a variety of quality programmes.', 'Every JPS student is a leader who demonstrates the 7 habits of The Leader in Me when leading self, peer and school.  Through platforms like the Every Child Leads in Instrumental Performance (ECLIP) programme as well as the Integrated Project Work (IPW), JPS students are empowered with leadership competencies to become gracious leaders and passionate learners.', 'Every JPS teacher is a nurturing educator committed to building a culture of care and excellence in the school.', 'Leveraging on strategic partnerships with our stakeholders, we will develop all-rounded students of distinction ready to take on future endeavours.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",75,115,143,144,Jurong Primary School,Jurong East,Jurong Primary School,27.0,41.0,Y,Balloting will be conducted for Singapore Citizen children residing within 1km of the school.
141,142,186,"{'schoolSlug': 'montfort-junior-school', 'schoolCode': '5018', 'schoolName': 'Montfort Junior School', 'schoolNameZh': '蒙福小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/montfort-junior-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'North', 'schoolType': 'Government-Aided School', 'schoolNature': ""Boys' School"", 'schoolSession': 'Single Session', 'website': 'https://www.montfortjunior.moe.edu.sg/', 'address': '52 Hougang Avenue 8', 'schoolArea': 'Hougang', 'postalCode': '538786', 'tel': '65101588', 'email': 'montfort_js@moe.edu.sg', 'latitude': 1.3738244407598, 'longitude': 103.889307782925, 'nearestSlugs': ['yio-chu-kang-primary-school', 'punggol-primary-school', 'xinmin-primary-school', 'chij-our-lady-of-the-nativity', 'holy-innocents-primary-school', 'hougang-primary-school', 'palm-view-primary-school', 'north-vista-primary-school', 'rosyth-school', 'xinghua-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'Montfort is a Catholic School.  Guided by our Montfortian values and spirituality, we nurture each individual to realise his potential and inspire him to be a Man for Others.', 'schoolVision': 'A Montfortian, A Man for Others. Every Montfortian a Scholar, Sportsman, gentleman and a leaderGuided by our  School Values* of:CompassionHumilityRespectIntegrityServiceTeam spiritExcellence(CHRISTE)', 'schoolEchos': [""Montfort Junior School is a member of the Montfort Brothers of St. Gabriel's and we have brother institutions in all parts of the world. The school is guided by the goals and purpose of Montfortian Education which is to help our students:"", 'To learn, understand and love God as Wisdom', 'To understand and transform oneself in the ways of Wisdom', 'To become committed to transform society in obedience to Wisdom.', 'Given this mandate, the school leverages on our 100 years of history to build an institution that emphasizes on promoting a culture of care and excellence to help develop our students to be imbued with our CHRISTE* values and who will go on to serve his community and be a man for others.'], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': ['montfort-secondary-school']}",116,50,136,163,Montfort Junior School,Hougang,Montfort Junior School,72.0,64.0,,
142,143,186,"{'schoolSlug': 'park-view-primary-school', 'schoolCode': '1743', 'schoolName': 'Park View Primary School', 'schoolNameZh': '百惠小学', 'schoolLogoUrl': 'https://beta.moe.gov.sg/uploads/park-view-primary-school.jpg', 'schoolLevel': 'Primary School', 'schoolZone': 'East', 'schoolType': 'Government School', 'schoolNature': 'Co-Ed School', 'schoolSession': 'Single Session', 'website': 'https://www.parkviewpri.moe.edu.sg', 'address': '60 Pasir Ris Drive 1', 'schoolArea': 'Pasir Ris', 'postalCode': '519524', 'tel': '65851421', 'email': 'pvps@moe.edu.sg', 'latitude': 1.37738069854251, 'longitude': 103.939541695654, 'nearestSlugs': ['meridian-primary-school', 'elias-park-primary-school', 'casuarina-primary-school', 'tampines-north-primary-school', 'poi-ching-school', 'gongshang-primary-school', 'pasir-ris-primary-school', 'white-sands-primary-school', 'tampines-primary-school', 'st-hilda-s-primary-school'], 'schoolStatus': [], 'specialNeeds': ['Allied educators (Learning and behavioural support)'], 'schoolMission': 'To nurture future-ready students, anchored on values', 'schoolVision': 'Leaders of Character, championing Service and Excellence', 'schoolEchos': [""We believe that 'Every Child Matters' and we centre our Teaching and Learning on this philosophy. We are guided by our school values of Respect for All, Responsibility in Actions, Resilience in Adversity, Integrity Our Core, Care for Community and Harmony in Diversity in our interactions and our decision-making.""], 'motherTongues': ['Chinese', 'Malay', 'Tamil'], 'affiliatedSchools': []}",129,94,150,89,Park View Primary School,Pasir Ris,Park View Primary School,50.0,38.0,,
